L1    ;30; medida de L1 em cm
dL1   ; 0.5 ; resolu«ı«úo de L1 em cm
dL2   ;0.8; resolu«ı«úo de L2 em cm
O1-L2 ; O2-L2 ; O3-L2
13.1 ;17.2; 21.3
14.8;16.0;14.3
12.0;16.4;15.6
18.0;18.3;13.8
11.7;18.4;14.0
15.0;17.4;11.1
13.5;14.6;12.9
14.9;15.3;12.4
14.1;12.3;10.9
22.4;19.1;11.1
14.6;19.2;11.0
15.0;17.1;12.3
15.4;15.0;9.4
14.7;17.3;12.8
11.4;18.0;11.7
12.7;16.7;14.2
14.7;15.7;14.2
13.5;16.8;14.5
15.6;18. 3;16.2
13.5;17.8;14.8
14.4;16.4;14.9
13.7;16.8;14.2
14.1;14.3;16.5
17.2;16.0;17.4
15.5;16.2;18.0
16.4;15.5;15.4
16.0;17.3;12.3
17.0;20.8;18.2
19.0;15.8;14.6
16.5;17.1;16.4
